CategoryName,ItemName,ItemBasePrice(As per Warangal Outlet),Qty for 10(1000 Ml Box) 2.5 Times of Regular Porition,Price per Person,Final Price,Our Price,,,,,
Veg Starters,Veg Manchurian,295,443,44,44,50,,,,,
Veg Starters,Crispy Baby Corn,295,443,44,44,50,,3 Items Box,,,
Veg Starters,Chilli Mushroom,295,443,44,44,50,,Veg,Price,Non Veg,Price
Veg Starters,Baby Corn Manchurian,295,443,44,44,50,,Jeera Rice,99,Jeera Rice,145
Veg Starters,Gobi Manchurian,299,449,45,45,50,,Aloo Dum Curry,,Telangana Chicken Curry,
Veg Starters,Chilli Paneer,345,518,52,52,65,,Gulab Jamum,,Gulab Jamum,
Veg Starters,Paneer Majestic,345,518,52,52,65,,,,,
Veg Starters,Paneer-65,345,518,52,52,65,,,,,
Non Veg Starters,Chilli Egg,315,788,79,79,65,,5 Items Box,,,
Non Veg Starters,Chicken-65,375,938,94,94,75,,Veg,Price,Non Veg,Price
Non Veg Starters,Chicken Majestic,375,938,94,94,75,,Vegetable Biryani,150,Chicken Biryani,220
Non Veg Starters,Chilli Chicken,375,938,94,94,75,,Veg Manchurian,,Chilli Chicken,
Non Veg Starters,Pepper Chicken,360,900,90,90,75,,Gulab Jamum,,Double Ka Meetha,
Non Veg Starters,Chicken Tikka,370,925,93,93,85,,Raitha,,Raitha,
Non Veg Starters,Karivepaku Kodi Vepudu,375,938,94,94,75,,Green Salad,,Green Salad,
Non Veg Starters,Apollo Fish,425,1063,106,106,105,,,,,
Non Veg Starters,Fish Tikka,425,1063,106,106,105,,,,,
Non Veg Starters,Chiilli Prawns,435,1088,109,109,110,,8 Items Box,,,
Non Veg Starters,Mamsam Jeddipapu Fry,520,1300,130,130,135,,Veg,Price,Non Veg,Price
Indian Breads,Phulka,75,113,11,10,10,,Phulka,220,Phulka,290
Indian Breads,Tandoori Roti,65,98,10,10,10,,Paneer Butter Masala,,Butter Chicken,
Indian Breads,Plain Naan,65,98,10,10,10,,Vegetable Biryani,,Chicken Biryani,
Indian Breads,Butter Naan,75,113,11,15,15,,Veg Manchurian,,Chilli Chicken,
Indian Breads,Garlic Naan,85,128,13,15,15,,Gulab Jamum(1 Piece),,Double Ka Meetha,
Veg Curry,Guttivankaya Koora,295,295,30,30,35,,Raitha,,Raitha,
Veg Curry,Mushroom Masala,295,295,30,30,35,,Green Salad,,Green Salad,
Veg Curry,Dal Tadka,265,265,27,27,25,,Mirch Ka Salan,,Mirch Ka Salan,
Veg Curry,Dal Fry,265,265,27,27,25,,,,,
Veg Curry,Aloo Dum Curry,265,265,27,27,25,,,,,
Veg Curry,Mix-veg,295,295,30,30,35,,,,,
Veg Curry,Nizami Handi,295,295,30,30,35,,,,,
Veg Curry,Kadai Veg,295,295,30,30,35,,,,,
Veg Curry,Aloo Gobi Masala,290,290,29,29,35,,,,,
Veg Curry,Veg Kholapuri,295,295,30,30,35,,,,,
Veg Curry,Paneer Butter Masala,335,335,34,34,55,,,,,
Veg Curry,Paneer Tikka Masala,335,335,34,34,55,,,,,
Veg Curry,Paneer Kholapuri,330,330,33,33,55,,,,,
Veg Curry,Kadai Paneer,335,335,34,34,55,,,,,
Non Veg Curry,Egg Bhurji,335,670,67,67,65,,,,,
Non Veg Curry,Butter Chicken,385,770,77,77,75,,,,,
Non Veg Curry,Chicken Tikka Masala,385,770,77,77,75,,,,,
Non Veg Curry,Chicken Kholapuri,385,770,77,77,75,,,,,
Non Veg Curry,Kadai Chicken,385,770,77,77,75,,,,,
Non Veg Curry,Gongura Kodi Koora,385,770,77,77,75,,,,,
Non Veg Curry,Kodi Koora,385,770,77,77,75,,,,,
Non Veg Curry,Mutton Rogan Josh,465,930,93,93,125,,,,,
Non Veg Curry,Mutton Masala,465,930,93,93,125,,,,,
Non Veg Curry,Lucknowi Mutton Korma,465,930,93,93,125,,,,,
Non Veg Curry,Fish Tikka Masala,435,870,87,87,110,,,,,
Non Veg Curry,Fish Pulsu,375,750,75,75,110,,,,,
Biryani,Chicken Biryani,385,578,58,58,75,,,,,
Biryani,Mutton Dum Biryani,495,743,74,74,125,,,,,
Biryani,Veg Biryani,325,488,49,49,55,,,,,
Biryani,Egg Biryani,335,503,50,50,65,,,,,
Rice Items,Veg Fried Rice,285,285,29,29,45,,,,,
Rice Items,Chicken Fried Rice,335,503,50,50,65,,,,,
Rice Items,Egg Fried Rice,305,458,46,46,55,,,,,
Rice Items,Plain Rice,145,290,29,30,35,,,,,
Rice Items,Jeera Rice,245,490,49,35,50,,,,,
Rice Items,Bagara Rice,245,490,49,35,50,,,,,
Rice Items,Sambar Rice,275,550,55,40,50,,,,,
Rice Items,Curd Rice,215,430,43,35,40,,,,,
Desserts,Gulab Jamun,145,218,22,20,20,,,,,
Desserts,Kala Jamun,145,218,22,20,20,,,,,
Desserts,Double Ka Meetha,145,218,22,20,25,,,,,
